Cluster,Source,Target,Days,RMSE_TL,MAE_TL,RMSE_BASE,MAE_BASE
4,Building_6,Building_13,210,0.5767391961872426,0.37985475223571125,0.5017809543815166,0.32000184145154204
4,Building_6,Building_13,217,0.5820099621072694,0.38206111915080204,0.4800942334248646,0.3069826817582723
4,Building_6,Building_13,224,0.5999553466786215,0.3937403591798044,0.5092070696037578,0.3227245415653264
4,Building_6,Building_13,231,0.5881118064782708,0.38341437538841683,0.4917197045190544,0.3039395674020192
4,Building_6,Building_13,238,0.5676903216715461,0.3726017071651762,0.5152430118269364,0.3297373179222212
4,Building_6,Building_13,240,0.5803075504713859,0.3791055354086138,0.511167237592683,0.3225454116461985
4,Building_6,Building_1,7,1.0183915142362727,0.7082672817250126,1.25239634890786,0.8786569991852986
4,Building_6,Building_1,14,1.0161531879246086,0.7082922576229692,1.4746735844696883,1.1165634991968763
4,Building_6,Building_1,21,1.0423466854457581,0.7170014207708005,1.3066252770671418,0.9448624662419595
4,Building_6,Building_1,28,1.0314783347011143,0.7128987987032079,1.3408019724612652,0.9719765459877836
4,Building_6,Building_1,35,1.0422464366291648,0.7203538163295026,1.248514129267777,0.9010614138079872
4,Building_6,Building_1,42,1.0412978098905643,0.7190717595466294,1.2604840210731016,0.8938672900818231
4,Building_6,Building_1,49,1.063967296076144,0.7531420627762465,1.2295692557920483,0.8678693959390907
4,Building_6,Building_1,56,1.051123494346487,0.744291754716848,1.2011777635688925,0.8262063519842073
4,Building_6,Building_1,63,1.0281657772651946,0.7587614394094635,1.150389651051062,0.7889900506483608
4,Building_6,Building_1,70,1.0416861291605481,0.7541689549483587,1.5394986706162441,1.1308101850022383
4,Building_6,Building_1,77,1.0388952450533417,0.7514416711890031,1.2355565176424312,0.8689345913287533
4,Building_6,Building_1,84,1.056398527999894,0.7643068427495331,1.2835658190762387,0.9183359310407192
4,Building_6,Building_1,91,1.0265567148429187,0.7453624774801368,1.138905216621911,0.7918812693773067
4,Building_6,Building_1,98,1.0303646442777383,0.7554188400104224,1.2287301579654129,0.8591591984604277
4,Building_6,Building_1,105,1.0339779085121685,0.750447867556763,1.2045559091834366,0.8285750166319436
4,Building_6,Building_1,112,1.025156130108138,0.751093579347653,1.269183490353642,0.9197275833516648
4,Building_6,Building_1,119,1.032720125733757,0.7490559555002185,1.2387096756506248,0.8799646964054666
4,Building_6,Building_1,126,1.0231860048638213,0.6857671276218825,1.0148967637905824,0.6947458309351132
4,Building_6,Building_1,133,1.0327913651471052,0.7269026861210088,1.124180030076559,0.7765393696522465
4,Building_6,Building_1,140,0.950377116193274,0.6947845774180744,0.9456260680119275,0.6669967345876593
4,Building_6,Building_1,147,0.93176003106743,0.6841516677540809,0.9417979033383324,0.6795787362941632
4,Building_6,Building_1,154,0.9065595075773578,0.6640499439208714,0.9361397163407693,0.66133867667161
4,Building_6,Building_1,161,0.9039854627528786,0.6515776426111367,0.9299524482672795,0.6400110522598422
4,Building_6,Building_1,168,0.8602426601054703,0.6227331624743097,0.8091499421067442,0.5527547281620163
4,Building_6,Building_1,175,0.8599775754400142,0.595549183636051,0.7607290836178753,0.507133624205517
4,Building_6,Building_1,182,0.8121932258761124,0.5408434040628031,0.7458251040236213,0.47975222404515444
4,Building_6,Building_1,189,0.7860591173054717,0.5319094265941429,0.7035926777548177,0.4521564917124284
4,Building_6,Building_1,196,0.8014000752692776,0.5600616356231471,0.7030991015607193,0.44534906914429856
4,Building_6,Building_1,203,0.79972645011847,0.5433064094688328,0.7021477422791605,0.44683973149447564
4,Building_6,Building_1,210,0.8065648299676352,0.5361968762068923,0.684460465455911,0.43935381820363945
4,Building_6,Building_1,217,0.7871352706767798,0.5349420605665199,0.7157814049700715,0.4444044511280711
4,Building_6,Building_1,224,0.7936603340076873,0.5459002552886472,0.7052435640482447,0.443019459995315
4,Building_6,Building_1,231,0.8017295335743008,0.54747673249082,0.7168513031030426,0.45595456720371974
4,Building_6,Building_1,238,0.8502324546813124,0.5570961913029765,0.6907522098905081,0.43915215528215407
4,Building_6,Building_1,240,0.7931951176754565,0.5615114755401612,0.6985149160709518,0.4459016436103238
